datetime,conditions,description,icon
09/04/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
10/04/2023,Clear,Clear conditions throughout the day.,clear-day
11/04/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
12/04/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
13/04/2023,Clear,Clear conditions throughout the day.,clear-day
14/04/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
15/04/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
16/04/2023,Overcast,Cloudy skies throughout the day.,cloudy
17/04/2023,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain
18/04/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
19/04/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
20/04/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
21/04/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
22/04/2023,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain
23/04/2023,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain
24/04/2023,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
25/04/2023,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
26/04/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
27/04/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
28/04/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
29/04/2023,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
30/04/2023,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
01/05/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
02/05/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
03/05/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
04/05/2023,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain
05/05/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
06/05/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
07/05/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
08/05/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
09/05/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
10/05/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
11/05/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
12/05/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
13/05/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
14/05/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
15/05/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
16/05/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
17/05/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
18/05/2023,Clear,Clear conditions throughout the day.,clear-day
19/05/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
20/05/2023,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
21/05/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
22/05/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
23/05/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
24/05/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
25/05/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
26/05/2023,Clear,Clear conditions throughout the day.,clear-day
27/05/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
28/05/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
29/05/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
30/05/2023,Clear,Partly cloudy throughout the day.,clear-day
31/05/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
01/06/2023,Clear,Clear conditions throughout the day.,clear-day
02/06/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
03/06/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
04/06/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
05/06/2023,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
06/06/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
07/06/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
08/06/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
09/06/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
10/06/2023,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
11/06/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
12/06/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
13/06/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
14/06/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
15/06/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
16/06/2023,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain
17/06/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
