datetime,conditions,description,icon
01/03/2020,Clear,Clear conditions throughout the day.,clear-day
02/03/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
03/03/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
04/03/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
05/03/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
06/03/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
07/03/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
08/03/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
09/03/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
10/03/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
11/03/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
12/03/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
13/03/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
14/03/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
15/03/2020,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
16/03/2020,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
17/03/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
18/03/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
19/03/2020,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain
20/03/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
21/03/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
22/03/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
23/03/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow
24/03/2020,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
25/03/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
26/03/2020,Clear,Clear conditions throughout the day.,clear-day
27/03/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
28/03/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
29/03/2020,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
30/03/2020,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain
31/03/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
01/04/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
02/04/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
03/04/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
04/04/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
05/04/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
06/04/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
07/04/2020,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
08/04/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
09/04/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain
10/04/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
11/04/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
12/04/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
13/04/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
14/04/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
15/04/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
16/04/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
17/04/2020,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain
18/04/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
19/04/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
20/04/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
21/04/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
22/04/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
23/04/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
24/04/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
25/04/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
26/04/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
27/04/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
28/04/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
29/04/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
30/04/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
01/05/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
02/05/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
03/05/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
04/05/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
05/05/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
06/05/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
07/05/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
08/05/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
09/05/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
10/05/2020,Clear,Partly cloudy throughout the day.,clear-day
11/05/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
12/05/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
13/05/2020,Clear,Clear conditions throughout the day.,clear-day
14/05/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
15/05/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
16/05/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
17/05/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
18/05/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
19/05/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
20/05/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
21/05/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
22/05/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
23/05/2020,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain
24/05/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
25/05/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
26/05/2020,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
27/05/2020,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
28/05/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
29/05/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
30/05/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
31/05/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
01/06/2020,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
02/06/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
03/06/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
04/06/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
05/06/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
06/06/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
07/06/2020,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
08/06/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
09/06/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
10/06/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
11/06/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
12/06/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
13/06/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
14/06/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
15/06/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
16/06/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
17/06/2020,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
18/06/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
19/06/2020,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
20/06/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
21/06/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
22/06/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
23/06/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
24/06/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
25/06/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
26/06/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
27/06/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
28/06/2020,"Rain, Partially cloudy",Clearing in the afternoon with late afternoon rain.,rain
29/06/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
30/06/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
01/07/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
02/07/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
03/07/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
04/07/2020,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain
05/07/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
06/07/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
07/07/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
08/07/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
09/07/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
10/07/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
11/07/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
12/07/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
13/07/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
14/07/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
15/07/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
16/07/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
17/07/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
18/07/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
19/07/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
20/07/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
21/07/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
22/07/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
23/07/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
24/07/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
25/07/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
26/07/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
27/07/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
28/07/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
29/07/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
30/07/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
31/07/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
01/08/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
02/08/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
03/08/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
04/08/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
05/08/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
06/08/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
07/08/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
08/08/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
09/08/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
10/08/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
11/08/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
12/08/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
13/08/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain
14/08/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
15/08/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
16/08/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain
17/08/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
18/08/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
19/08/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain
20/08/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
21/08/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
22/08/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
23/08/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
24/08/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
25/08/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
26/08/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
27/08/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
28/08/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
29/08/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain
30/08/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
31/08/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
01/09/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
02/09/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
03/09/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
04/09/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
05/09/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
06/09/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
07/09/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
08/09/2020,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
09/09/2020,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
10/09/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
11/09/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
12/09/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
13/09/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
14/09/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
15/09/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
16/09/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
17/09/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
18/09/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
19/09/2020,Clear,Clear conditions throughout the day.,clear-day
20/09/2020,Clear,Clear conditions throughout the day.,clear-day
21/09/2020,Clear,Clear conditions throughout the day.,clear-day
22/09/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
23/09/2020,Clear,Clear conditions throughout the day.,clear-day
24/09/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
25/09/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
26/09/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
27/09/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
28/09/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
29/09/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
30/09/2020,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain
01/10/2020,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
02/10/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
03/10/2020,Clear,Clear conditions throughout the day.,clear-day
04/10/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
05/10/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
06/10/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
07/10/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
08/10/2020,Clear,Clear conditions throughout the day.,clear-day
09/10/2020,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
10/10/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
11/10/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
12/10/2020,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
13/10/2020,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
14/10/2020,Clear,Clear conditions throughout the day.,clear-day
15/10/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
16/10/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
17/10/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
18/10/2020,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
19/10/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
20/10/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
21/10/2020,Overcast,Cloudy skies throughout the day.,cloudy
22/10/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
23/10/2020,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain
24/10/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
25/10/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
26/10/2020,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
27/10/2020,Overcast,Cloudy skies throughout the day.,cloudy
28/10/2020,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain
29/10/2020,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
30/10/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
31/10/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
01/11/2020,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
02/11/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
03/11/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
04/11/2020,Clear,Clear conditions throughout the day.,clear-day
05/11/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
06/11/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
07/11/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
08/11/2020,Clear,Clear conditions throughout the day.,clear-day
09/11/2020,Clear,Clear conditions throughout the day.,clear-day
10/11/2020,Clear,Clear conditions throughout the day.,clear-day
11/11/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
12/11/2020,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
13/11/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
14/11/2020,Clear,Clear conditions throughout the day.,clear-day
15/11/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
16/11/2020,Clear,Clear conditions throughout the day.,clear-day
17/11/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
18/11/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
19/11/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
20/11/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
21/11/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
22/11/2020,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain
23/11/2020,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain
24/11/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
25/11/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
26/11/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
27/11/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
28/11/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
29/11/2020,Clear,Clear conditions throughout the day.,clear-day
30/11/2020,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
01/12/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
02/12/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
03/12/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
04/12/2020,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
05/12/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
06/12/2020,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
07/12/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
08/12/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
09/12/2020,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain
10/12/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
11/12/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
12/12/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
13/12/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
14/12/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,snow
15/12/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
16/12/2020,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow
17/12/2020,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow
18/12/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
19/12/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
20/12/2020,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,snow
21/12/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
22/12/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
23/12/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
24/12/2020,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
25/12/2020,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
26/12/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
27/12/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
28/12/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
29/12/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
30/12/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
31/12/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
01/01/2021,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
02/01/2021,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
03/01/2021,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
04/01/2021,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
05/01/2021,Overcast,Cloudy skies throughout the day.,cloudy
06/01/2021,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
07/01/2021,Clear,Clear conditions throughout the day.,clear-day
08/01/2021,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
09/01/2021,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
10/01/2021,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
11/01/2021,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
12/01/2021,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
13/01/2021,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
14/01/2021,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
15/01/2021,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
16/01/2021,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
17/01/2021,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
18/01/2021,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
19/01/2021,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
20/01/2021,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,snow
21/01/2021,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
22/01/2021,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
23/01/2021,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
24/01/2021,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
25/01/2021,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
26/01/2021,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow
27/01/2021,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,snow
28/01/2021,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
29/01/2021,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
30/01/2021,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
31/01/2021,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow
01/02/2021,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow
02/02/2021,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow
03/02/2021,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,rain
04/02/2021,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
05/02/2021,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
06/02/2021,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
07/02/2021,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow
08/02/2021,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
